Name,Vnom (kV),r (ohm/km),x (ohm/km),b (uS/km),r0 (ohm/km),x0 (ohm/km),b0 (uS/km),Imax (kA)
line-1circuit 66 ree-pl,66,0.08502216,0.4189726,2.730109,0.2956837,1.050646,1.74242,99999
line-2circuit 66 ree-pl,66,0.08513718,0.3952022,2.914192,0.2918894,1.106744,1.762037,99999
line-1circuit 132 ree-pl,132,0.08502153,0.4189725,2.725914,0.2954152,1.051309,1.680524,99999
line-2circuit 132 ree-pl,132,0.08513653,0.3952021,2.91155,0.2916124,1.107409,1.729161,99999
line-1circuit 220 ree-pl,220,0.06962962,0.4130883,2.761275,0.280965,1.043308,1.645389,99999
line-2circuit 220 ree-pl,220,0.06988352,0.4031183,2.853631,0.2736479,1.079605,1.775892,99999
line 400 ree-pl,400,0.02576,0.27664,4.159625,0.27808,0.884,2.21025,99999
cable-1circuit 66 ree-pl,66,0.026,0.1587950232,111.8,0.114924973,0.05285375153,111.8,99999
cable-2circuit 66 ree-pl,66,0.02609021381,0.1584256264,111.8,0.1126065478,0.06036643084,111.8,99999
cable-1circuit 132 ree-pl,132,0.02120000001,0.1475953565,91.97,0.1123633884,0.05682401528,91.97,99999
cable-2circuit 132 ree-pl,132,0.02129961521,0.1472141395,91.97,0.1096182647,0.06509475344,91.97,99999
cable-1circuit 220 ree-pl,220,0.01482000098,0.1689855741,78.49583404,0.1017684269,0.06401801608,78.49583404,99999
cable-2circuit 220 ree-pl,220,0.01494743575,0.1682659012,78.49583404,0.1001292298,0.07193907397,78.49583404,99999
