contingency_index,W_k,Pg_0,Pg_1,Pg_2,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,X_0,X_1,X_2,X_3,X_4,X_5,X_6,B_0,B_1,B_2,B_3,B_4,B_5,B_6,active_0,active_1,active_2,active_3,active_4,active_5,active_6
0,0.0,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.005151055277219047,0.10212364805302736,0.10388491307220633,3.388797393038519e-06,3.8427473573565986e-06,3.856889536342722e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.0051526350745539394,0.10212357305506449,0.10388478927208247,3.461344866150049e-06,3.918064016178138e-06,3.932443131486303e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.0051738383770932005,0.10212365372280521,0.10388491220131477,3.3490892981593656e-06,3.75347270802978e-06,3.767668942908191e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.0006137958272907358,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.006258265112253336,0.10212369749663713,0.10388482516899333,4.085682428981725e-08,0.40186481194039025,4.83326783256597e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.001327532957299579,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.006284553918283428,0.10212369922780733,0.10388482310015153,3.433142038213943e-08,4.0454310405239685e-08,0.4086839104733385,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.000616225617830074,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.006351891875335215,0.10212369639674074,0.10388481308088705,1.7795440155783785e-07,0.4019321223988901,2.1397677436635203e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,0.0013301102844123782,0.0051381714275755015,0.10212369774060989,0.10388482349758718,0.0063757264874581936,0.10212369885662229,0.10388482314031576,2.231633457494854e-08,2.6717580672207673e-08,0.40875457834671963,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.009898419784157685,0.1005884350342965,0.10062873555802983,1.6430212762517298e-06,2.029743342442185e-06,2.0300369521735675e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.009894503560758446,0.10058843176860878,0.10062873541028754,1.5410665908048624e-06,1.9207527461792942e-06,1.9210265480781948e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.009925435764759856,0.10058843316156127,0.10062873355532466,1.6075717570564304e-06,1.94630659666367e-06,1.946601446079297e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.00011813286831597889,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.010596205911108589,0.1005883467341324,0.10062864975324223,2.7719225085724407e-08,0.20137818600877788,3.5841223665733305e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
