Pg_0,Pg_1,Pg_2,Pg_3,Pg_4,Pg_5,Pg_6,Pg_7,Pg_8,Pg_9,contingency_index,W_k,u_j_0,Z_k_0,u_j_1,Z_k_1,u_j_2,Z_k_2,u_j_3,Z_k_3,u_j_4,Z_k_4
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,0,6.480537454532215e-09,6.734065354372792,-5.1592723872329615e-12,6.73424572300159,1.0900167233897647e-12,6.7340654101483555,-6.296477565728081e-12,2.0974128505475975,5.417984166606271e-05,6.734065323667102,-7.096287402053814e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,1,1.0100366212339939e-08,6.734065354372959,-5.113711504982622e-12,6.748642180747097,1.0045019896831756e-12,6.734065410148357,-6.1942339569596705e-12,2.097412850552748,6.27248970296826e-05,6.734065323667379,-6.926978727831331e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,2,5.70606295055805e-09,6.734065354372826,-1.9593352386726885e-12,6.734197726277738,3.570893447195647e-13,6.734065410148408,-2.2951162194174274e-12,2.097412850547726,1.8880613492120724e-05,6.734065323667167,-2.5650929538607023e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,3,7.095250732159312e-09,6.734065354372833,-2.5200675060242433e-12,6.734192569562963,4.428854499959979e-13,6.734065410148414,-2.9250010904628272e-12,2.0974128505476455,2.3197212516810236e-05,6.734065323667175,-3.2626027279907396e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,4,6.190177048761691e-09,6.734065354372829,-2.1602173125864298e-12,6.7341962958503006,3.890079822994695e-13,6.7340654101484105,-2.522837772767572e-12,2.0974128505477165,2.0578817142079213e-05,6.734065323667171,-2.8176528717457897e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,5,6.2138780939721424e-09,6.734065354372829,-2.1752654049584644e-12,6.73419571959207,3.9071652985462087e-13,6.7340654101484105,-2.5387916879037862e-12,2.097412850547712,2.066423669059885e-05,6.734065323667171,-2.8350527238369466e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,6,7.31807585275468e-09,6.734065354372833,-2.6034405952850006e-12,6.734192179710659,4.558215972156198e-13,6.734065410148414,-3.018942815009094e-12,2.097412850547627,2.3824522663614226e-05,6.734065323667176,-3.366739983030568e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,7,7.279460211224336e-09,6.734065354372833,-2.587083385856054e-12,6.734192410880121,4.5354166903629104e-13,6.734065410148414,-3.000933368341876e-12,2.097412850547632,2.3717250436170628e-05,6.734065323667176,-3.346885743949891e-12
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,8,4.544629833561893e-08,6.734065354372527,-1.5821261168845358e-11,6.734175117904288,2.679448314998586e-12,6.7340654101479895,-1.8197716675491048e-11,2.097412850548232,0.0002926084782918617,6.734065323666654,-2.0150096785233553e-11
663.0,646.0,663.0,652.0,508.0,663.0,580.0,564.0,657.0,657.0,9,7.155481048686841e-09,6.734065354372833,-2.5377737648894943e-12,6.734192858022456,4.462506599991184e-13,6.734065410148414,-2.945959925172981e-12,2.0974128505476455,2.3366687949517902e-05,6.734065323667175,-3.286102726593585e-12
