Name,Vnom (kV),r (ohm/km),x (ohm/km),b (uS/km),r0 (ohm/km),x0 (ohm/km),b0 (uS/km),Imax (kA)
line-1circuit 66 ree-pl,66,0.08502216,0.4189726,2.730109,0.2956837,1.050646,1.74242,99999
line-2circuit 66 ree-pl,66,0.08513718,0.3952022,2.914192,0.2918894,1.106744,1.762037,99999
line-1circuit 132 ree-pl,132,0.08502153,0.4189725,2.725914,0.2954152,1.051309,1.680524,99999
line-2circuit 132 ree-pl,132,0.08513653,0.3952021,2.91155,0.2916124,1.107409,1.729161,99999
line-1circuit 220 ree-pl,220,0.06962962,0.4130883,2.761275,0.280965,1.043308,1.645389,99999
line-2circuit 220 ree-pl,220,0.06988352,0.4031183,2.853631,0.2736479,1.079605,1.775892,99999
line 400 ree-pl,400,0.02576,0.27664,4.159625,0.27808,0.884,2.21025,99999
cable-1circuit 66 ree-pl,66,0.0260000000018278,0.158795023182825,111.8,0.114924972972772,0.052853751529279,111.8,99999
cable-2circuit 66 ree-pl,66,0.0260902138098056,0.15842562643925,111.8,0.112606547757052,0.0603664308381978,111.8,99999
cable-1circuit 132 ree-pl,132,0.0212000000073736,0.14759535650638,91.97,0.112363388418319,0.0568240152757576,91.97,99999
cable-2circuit 132 ree-pl,132,0.0212996152072688,0.14721413948451,91.97,0.109618264659964,0.0650947534447471,91.97,99999
cable-1circuit 220 ree-pl,220,0.0148200009809731,0.168985574109163,78.4958340425946,0.101768426874426,0.0640180160842273,78.4958340425946,99999
cable-2circuit 220 ree-pl,220,0.0149474357510004,0.168265901187744,78.4958340425946,0.100129229819734,0.0719390739723967,78.4958340425946,99999
