Name,Rate (MVA),Frequency (Hz),HV (kV),LV (kV),Copper losses (kW),No load losses (kW),No load current (%),V short circuit (%),HV vector group,LV vector group,Phase shift (*30º)
2.5 MVA 10/0.4 kV Yyn6 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,Y,YN,6
2.5 MVA 10/0.4 kV Yyn6 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,Y,YN,6
2.5 MVA 10/0.4 kV Yyn0 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,Y,YN,0
2.5 MVA 10/0.4 kV Yyn0 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,Y,YN,0
2.5 MVA 10/0.4 kV Trafo Union wnr,2.5,50,10,0.4,18,3.2,0.128,8,D,YN,5
2.5 MVA 10/0.4 kV Trafo Union,2.5,50,10,0.4,17.5,3.75,0.15,8,D,YN,5
2.5 MVA 10/0.4 kV Dyn7 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,7
2.5 MVA 10/0.4 kV Dyn7 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,7
2.5 MVA 10/0.4 kV Dyn5 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,5
2.5 MVA 10/0.4 kV Dyn5 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,5
2.5 MVA 10/0.4 kV Dyn11 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,11
2.5 MVA 10/0.4 kV Dyn11 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,11
2.5 MVA 10/0.4 kV Dyn1 wnr ASEA,2.5,50,10,0.4,19,3.3,0.13201,6,D,YN,1
2.5 MVA 10/0.4 kV Dyn1 ASEA,2.5,50,10,0.4,19,4.3,0.17201,6,D,YN,1
2.5 MVA 10/0.4 kV DTTHL SGB,2.5,50,10,0.4,18,3.15,0.12601,6,D,YN,5
2.5 MVA 10/0.4 kV DTTHIL  SGB,2.5,50,10,0.4,13.9,3.35,0.13401,6,D,YN,5
2.5 MVA 10/0.4 kV DTTH  SGB,2.5,50,10,0.4,18.5,4.2,0.16801,6,D,YN,5
2.5 MVA 10/0.4 kV DOTEL 2500/10  SGB,2.5,50,10,0.4,25,2.5,0.10001,6,Y,ZN,5
2.5 MVA 10/0.4 kV DOTE 2500/10  SGB,2.5,50,10,0.4,25,3.5,0.14001,6,Y,ZN,5
2.5 MVA 10/0.4 kV 4.8 GEAFOL,2.5,50,10,0.4,15.5,4.8,0.192,6,D,YN,5
2.5 MVA 10/0.4 kV 3.3 GEAFOL,2.5,50,10,0.4,19,3.3,0.132,6,D,YN,5
