Name,Rated voltage [kV],Rated current [kA],Nominal Frequency,R [Ohm/km AC@20°C],X [Ohm/km],L [Ohm/km],R0 (AC) [Ohm/km],X0  [Ohm/km],L0 [mH/km]
BD-FPE AL2-4x5   0.60 kV,0.6,1.8,50,0.00217,0.0014,0.004456,0.052,0.087,0.27693
BD-FPE AL2-4x6   0.60 kV,0.6,2.2,50,0.00194,0.00131,0.00417,0.243,0.149,0.474282
BD-FPE AL4-4x4   0.60 kV,0.6,2.6,50,0.0014,0.001,0.003183,0.173,0.123,0.391521
BD-FPE AL4-4x6   0.60 kV,0.6,3.6,50,0.00089,0.00071,0.00226,0.173,0.123,0.391521
BD-FPE CU2-4x4   0.60 kV,0.6,2,50,0.00168,0.00156,0.004966,0.084,0.132,0.420169
BD-FPE CU2-4x5   0.60 kV,0.6,2.3,50,0.00133,0.00137,0.004361,0.084,0.132,0.420169
BD-FPE CU2-4x6   0.60 kV,0.6,2.66,50,0.00122,0.00126,0.004011,0.091,0.093,0.296028
BD-FPE CU4-4x4   0.60 kV,0.6,3.56,50,0.00069,0.00101,0.003215,0.06,0.068,0.216451
BD-FPE CU4-4x5   0.60 kV,0.6,4.55,50,0.00079,0.00076,0.002419,0.06,0.06,0.190986
BD-IBER BB3000CU   1.00 kV,1,3,50,0.015,0.008,0.025465,0.094,0.17,0.541127
BD-IBER BV2500AL   1.00 kV,1,2.5,50,0.02,0.015,0.047746,0.125,0.319,1.015409
BD-KLOE-M LD1.   1.00 kV,1,1,50,0.047,0.034,0.108225,0.185,0.182,0.579324
BD-KLOE-M LD2.   1.00 kV,1,1.25,50,0.044,0.034,0.108225,0.183,0.18,0.572958
BD-KLOE-M LD2.CU   1.00 kV,1,1.55,50,0.029,0.045,0.143239,0.124,0.164,0.522028
BD-KLOE-M LD3.   1.00 kV,1,1.6,50,0.036,0.031,0.098676,0.137,0.138,0.439268
BD-KLOE-M LD3.CU   1.00 kV,1,2.05,50,0.024,0.037,0.117775,0.084,0.132,0.420169
