,Investment cost (M€),Technical cost (M€),Losses (M€),Overload cost (M€),Voltage cost (M€)
Solution 0,0.0,15338.453136874234,259.32246370932756,15079.06722726408,0.06344590082615342
Solution 1,100.0,15338.774591824349,259.3177646560093,15079.393372828628,0.06345433971056069
Solution 2,100.0,15338.468713383927,259.0821666927963,15079.3231131375,0.0634335536304712
Solution 3,100.0,15338.631345563997,259.0775827520028,15079.49031176531,0.06345104668405599
Solution 4,100.0,15335.293805037063,257.2927374007365,15077.937757127733,0.06331050859430731
Solution 5,100.0,15338.52175055779,259.3025712883014,15079.155716797155,0.06346247233360325
Solution 6,100.0,15342.915723423474,259.16414778293,15083.68814325212,0.06343238842291254
Solution 7,100.0,15332.401744586241,258.15070818700127,15074.187735728303,0.063300670936841
Solution 8,100.0,15336.111830282758,257.8752228785894,15078.173284777491,0.06332262667743138
Solution 9,100.0,15333.649075957692,257.74373922555185,15075.842085412027,0.06325132011351142
Solution 10,100.0,15337.957287763415,259.24188195108485,15078.651971865344,0.06343394698634575
Solution 11,100.0,15338.28593955554,259.3044040734956,15078.918093607637,0.06344187440699223
Solution 12,100.0,15341.76977111082,257.28856157911514,15084.417806138317,0.06340339338790846
Solution 13,100.0,15375.163667227744,258.6127451219472,15116.487858490771,0.0630636150248034
Solution 14,100.0,15341.9447403574,257.18150949806386,15084.699829700254,0.06340115908147703
Solution 15,100.0,15336.845073991215,259.2422535299311,15077.539385623899,0.0634348373858673
Solution 16,100.0,15337.50281912155,259.0801901384108,15078.359244811385,0.06338417175395217
Solution 17,100.0,15338.43149308706,259.33786269868546,15079.030187359349,0.0634430290267417
Solution 18,100.0,15339.527980295241,259.29770503843923,15080.166832845101,0.0634424117004172
Solution 19,100.0,15338.220676695111,259.1001211687422,15079.057115274822,0.06344025154756128
Solution 20,100.0,15340.498130917314,259.16529511172143,15081.26921971852,0.0636160870725132
Solution 21,100.0,15340.134076061278,259.3524093520486,15080.718077190328,0.06358951890170395
Solution 22,100.0,16582.34769784932,257.865895873687,16324.419351348399,0.06245062723436212
Solution 23,100.0,15336.587567570798,259.3890272919467,15077.134969695497,0.06357058335322774
Solution 24,100.0,15333.803152685465,259.1208506289994,15074.6191001486,0.06320190786457347
Solution 25,100.0,15353.131696448952,258.5821309769156,15094.486116001677,0.06344947036037274
Solution 26,100.0,15364.573798248115,258.4294124178685,15106.081817788305,0.0625680419422896
Solution 27,100.0,15308.04902182266,258.72781508795134,15049.257258239762,0.06394849494759403
Solution 28,100.0,15337.41219841622,259.30243669776644,15078.046293638032,0.06346808042019969
Solution 29,100.0,15339.682880709315,259.36877266843163,15080.250705472437,0.0634025684468067
Solution 30,100.0,15343.566330334852,259.2799463791006,15084.234555647228,0.05182830852389786
Solution 31,100.0,15006.332921003968,257.1956302908603,14749.075862365311,0.06142834779678685
Solution 32,100.0,16554.186718341953,259.23532345004134,16294.892224575924,0.05917031598640965
Solution 33,100.0,16567.341553051054,259.03363296030517,16308.252967110266,0.05495298048441455
Solution 34,100.0,16601.869059322406,258.447094057265,16343.374027314694,0.04793795044812321
Solution 35,100.0,15337.272653330181,259.17749705199407,15078.03185048195,0.06330579623777721
Solution 36,100.0,15498.715871198472,255.30443437023058,15243.354229394197,0.05720743404426021
Solution 37,100.0,16631.174698039787,257.32151554662425,16373.789622600054,0.06355989310790355
Solution 38,100.0,16539.771180130305,259.3502103537179,16280.357476742225,0.06349303436030562
Solution 39,100.0,15337.705108441183,259.2453934609048,15078.396366584817,0.06334839546159554
Solution 40,100.0,15553.41873448777,251.4907924527233,15301.867175649575,0.060766385471937245
Solution 41,100.0,15338.784110779525,249.44991191087135,15089.276917453357,0.057281415296795646
Solution 42,100.0,15348.366277701363,259.0659135455392,15089.237074947108,0.06328920871661892
Solution 43,100.0,15342.723377582586,259.3143325523414,15083.34564757152,0.06339745872463587
Solution 44,100.0,15341.53942047292,259.21566340724104,15082.260349772225,0.06340729345462237
Solution 45,100.0,15343.87105758653,259.2644134608615,15084.543280017371,0.06336410829741812
Solution 46,100.0,15337.307583085074,259.29666474266355,15077.947456960805,0.06346138160490833
Solution 47,100.0,15442.400453834493,258.1746573825022,15184.162369290938,0.06342716105250235
Solution 48,100.0,16556.4594822446,259.22754079111803,16297.168766017923,0.06317543556158822
Solution 49,100.0,15340.602515322842,259.50300593968694,15081.036088147666,0.06342123548815293
Solution 50,100.0,15336.992536055603,259.2885652974647,15077.64050948973,0.06346126840630273
Solution 51,100.0,15317.61937851106,258.1204877923639,15059.4359827709,0.06290794779803821
Solution 52,100.0,15250.146842728613,258.93725802782853,14991.146135806304,0.0634488944792897
Solution 53,100.0,13848.483025044778,258.6297452178606,13589.789762790311,0.06351703660551722
Solution 54,100.0,15340.276801137577,259.26533960956453,15080.94802829721,0.06343323080295016
Solution 55,100.0,15327.087736253472,259.30693578286713,15067.717353560034,0.06344691057164653
Solution 56,100.0,15352.063960415475,259.32982265200985,15092.670692562517,0.06344520094851414
Solution 57,100.0,16542.469179119802,254.82559432631274,16287.579894762264,0.06369003122391204
Solution 58,100.0,16557.26545457556,253.71771502789827,16303.483898246728,0.06384130093343177
Solution 59,100.0,15388.423494572276,254.59428045165282,15133.766503740697,0.06271037992733064
Solution 60,100.0,15347.231034487208,258.1139228797194,15089.053573705816,0.06353790167245255
Solution 61,100.0,15340.112622849138,258.8811149606271,15081.168004207506,0.06350368100442005
Solution 62,100.0,16541.870808971707,259.1367598595663,16282.670503714922,0.06354539721918306
Solution 63,100.0,15338.978203296778,259.3609239974696,15079.553814464838,0.06346483446954032
Solution 64,100.0,15281.722593456874,250.01041681703865,15031.650654129473,0.06152251036176548
Solution 65,100.0,15370.642235452822,259.2908171279041,15111.28821636701,0.06320195790882777
Solution 66,100.0,15358.121462657773,259.12327202755006,15098.934891172607,0.06329945761606492
Solution 67,100.0,15380.620619926704,255.35769726179214,15125.199669945921,0.06325271898915308
Solution 68,100.0,15347.909614197559,259.292232970263,15088.554015165244,0.06336606205153794
Solution 69,100.0,16522.48417132914,256.93669981014466,16265.483962794515,0.0635087244810294
Solution 70,100.0,15332.958998169985,257.3604942915158,15075.534910716782,0.06359316168662377
Solution 71,100.0,15343.78767780289,258.9675129600473,15084.75661970353,0.06354513931099004
Solution 72,100.0,15359.644702933865,259.3343881799154,15100.246699269643,0.06361548430676134
Solution 73,100.0,15337.721601935194,259.18248010089354,15078.475659097658,0.06346273664424706
Solution 74,100.0,15340.829607887239,258.39418110353824,15082.373016399699,0.062410384002361874
Solution 75,100.0,15346.177872488015,256.19726226497664,15089.938953858033,0.04165636500600134
Solution 76,100.0,15348.3884310533,256.44209099116216,15091.88730161927,0.05903844286693394
Solution 77,100.0,15320.058788039729,258.8591108057889,15061.134763619793,0.06491361414621255
Solution 78,100.0,15375.733496449358,259.03814665984487,15116.631568739762,0.06378104975145693
Solution 79,100.0,15341.440180549336,258.531424498463,15082.846702820198,0.06205323067482682
Solution 80,100.0,15338.910340556013,259.06491919201267,15079.78973659936,0.05568476464089078
