ct,pimp,pexp,qimp,qexp
1076069,213.28,10.81,67.7,17.44
1076109,151.39,0.0,21.3,14.92
1076128,417.64,0.0,123.72,23.76
1132967,535.48,0.09,109.11,22.01
1136039,73.27,0.0,21.99,18.94
1136042,201.98,0.0,0.0,65.93
1136056,412.78,0.81,11.77,80.55
1136065,448.8,0.0,81.4,40.62
1351982,743.98,0.0,87.86,78.17
1459343,303.69,5.32,52.36,21.99
1830188,639.14,0.0,213.71,56.86
65019,489.29,21.94,132.12,19.31
65019 meshed,489.29,21.94,132.12,19.31
65028,515.68,11.09,83.78,85.07
65034,590.23,0.0,256.77,0.85
65037,300.06,39.13,40.26,23.35
65046,502.1,14.82,172.44,12.68
65049,219.12,0.0,39.13,4.54
65052,675.73,8.71,260.6,7.54
65068,577.11,12.35,170.48,91.92
65076,314.57,0.0,114.75,16.48
65082,840.44,0.0,240.93,43.12
86315,401.01,0.0,188.84,24.25
NEV Network 1,8150.0,0.0,3717.51,0.0
NEV Network 2,33250.0,0.0,0.0,0.0
NEV Network 3,8150.0,0.0,3717.51,0.0
NEV Network 4,8150.0,0.0,3717.51,0.0
